ONET.SOC.2010.Code	OPR.Job.Title	OPR.Field.Title	Prestige1989_GSS	Prestige2012_GSS	Prestige2016_OPR	NumEmployedK	MeanAnnualSal	MedianAnnualSal	Manual	MedSalK
17-3012.01	Electrical and/or Electronics Drafter	EngineeringArchitecture	51.49	NA	59.31	20.68	73110	69260	0	69.26
17-3013.00	Mechanical Drafter	EngineeringArchitecture	51.49	NA	57.66	44.85	69920	64060	0	64.06
17-3019.00	Drafter	EngineeringArchitecture	51.49	NA	49.21	16.58	62980	59260	0	59.26
17-3021.00	Aerospace Engineering and Operations Technician	EngineeringArchitecture	71.6	NA	84.13	10.64	81280	77830	0	77.83
17-3022.00	Civil Engineering Technician	EngineeringArchitecture	40.85	NA	70.77	63.56	63770	60700	0	60.7
17-3023.00	Electrical and/or Electronic Engineering Technician	EngineeringArchitecture	59.88	NA	65.85	97.42	74440	72800	0	72.8
17-3029.02	Electrical and/or Electronic Engineering Technician	EngineeringArchitecture	59.88	NA	65.85	97.42	74440	72800	0	72.8
17-3023.01	Electrical and/or Electronic Engineering Technician	EngineeringArchitecture	59.88	NA	65.85	97.42	74440	72800	0	72.8
17-3029.04	Electrical and/or Electronic Engineering Technician	EngineeringArchitecture	59.88	NA	65.85	97.42	74440	72800	0	72.8
17-3023.03	Electrical and/or Electronic Engineering Technician	EngineeringArchitecture	59.88	NA	65.85	97.42	74440	72800	0	72.8
17-3024.01	Robotics Technician	EngineeringArchitecture	40.85	NA	67.73	15.36	72430	65080	0	65.08
17-3029.03	Electro-Mechanical Technician	EngineeringArchitecture	40.85	NA	64.11	15.36	72430	65080	0	65.08
17-3024.00	Electro-Mechanical Technician	EngineeringArchitecture	40.85	NA	64.11	15.36	72430	65080	0	65.08
17-3025.00	Environmental Engineering Technician	EngineeringArchitecture	40.85	NA	64.93	13.78	58780	54000	0	54
17-3026.00	Industrial Engineering Technicians	EngineeringArchitecture	40.85	NA	65.94	73.02	66640	62610	0	62.61
17-3029.05	Industrial Engineering Technicians	EngineeringArchitecture	40.85	NA	65.94	73.02	66640	62610	0	62.61
17-3029.07	Mechanical Engineering Technician	EngineeringArchitecture	40.85	NA	67.61	38.93	67990	64020	0	64.02
17-3027.00	Mechanical Engineering Technician	EngineeringArchitecture	40.85	NA	67.61	38.93	67990	64020	0	64.02
17-3027.01	Automotive Engineering Technician	EngineeringArchitecture	40.85	NA	56.31	38.93	67990	64020	0	64.02
17-3029.00	Other - Engineering Technician	EngineeringArchitecture	48.25	5	66.87	13.22	67360	62790	0	62.79
17-3029.01	Non-Destructive Testing Specialist	EngineeringArchitecture	64.38	NA	58.59	66.2	75290	73500	0	73.5
17-3029.12	Nanotechnology Engineering Technician	EngineeringArchitecture	40.85	NA	69.07	66.2	75290	73500	0	73.5
17-3029.10	Fuel Cell Technician	EngineeringArchitecture	40.85	NA	57.39	66.2	75290	73500	0	73.5
17-3029.08	Photonics Technician	EngineeringArchitecture	40.85	NA	64.58	66.2	75290	73500	0	73.5
17-3029.11	Nanotechnology Engineering Technician	EngineeringArchitecture	40.85	NA	69.07	66.2	75290	73500	0	73.5
17-3029.09	Manufacturing Production Technician	EngineeringArchitecture	40.85	NA	46.17	66.2	75290	73500	0	73.5
17-3029.06	Manufacturing Engineering Technologist	EngineeringArchitecture	64.38	NA	63.63	66.2	75290	73500	0	73.5
55-3017.00	Radar and/or Sonar Technician	Military	NA	NA	64.16	66.2	75290	73500	0	73.5
17-3029.00	Other - Engineering Technician	EngineeringArchitecture	48.25	NA	66.87	66.2	75290	73500	0	73.5
17-3031.02	Mapping Technician	EngineeringArchitecture	36.1	NA	55.08	56.05	54090	48940	0	48.94
17-3031.01	Surveying and Mapping Technician	EngineeringArchitecture	36.1	NA	57.44	56.05	54090	48940	0	48.94
17-3031.00	Surveying and Mapping Technician	EngineeringArchitecture	36.1	3.7	57.44	56.05	54090	48940	0	48.94
19-1011.00	Animal Scientist	LifePhysicalSocialScience	73.14	NA	63.58	2.46	89450	70140	0	70.14
19-1012.00	Food Scientist and/or Technologist	LifePhysicalSocialScience	58	5.5	68.73	14.1	88350	82090	0	82.09
19-1013.00	Soil and Plant Scientist	LifePhysicalSocialScience	54.53	NA	66.87	15.8	77080	68240	0	68.24
19-1020.01	Biologists	LifePhysicalSocialScience	73.14	6.9	75.11	133.05	100440	91790	0	91.79
19-1021.00	Biochemist	LifePhysicalSocialScience	73.14	NA	83.93	33.18	120310	107460	0	107.46
19-1022.00	Microbiologist	LifePhysicalSocialScience	73.14	NA	76.68	21.54	93380	85470	0	85.47
19-1023.00	Zoologist and/or Wildlife Biologist	LifePhysicalSocialScience	73.14	NA	69.56	17.1	75740	70600	0	70.6
19-1029.01	Bioinformatics Scientist	LifePhysicalSocialScience	73.14	NA	78.12	61.22	99060	91100	0	91.1
19-1029.03	Geneticist	LifePhysicalSocialScience	86.05	6	78.64	61.22	99060	91100	0	91.1
19-1029.00	Other - Biological Scientist	LifePhysicalSocialScience	73.14	NA	75.79	61.22	99060	91100	0	91.1
19-1029.02	Molecular and Cellular Biologist	LifePhysicalSocialScience	73.14	NA	78.9	61.22	99060	91100	0	91.1
19-1031.01	Soil and/or Water Conservationist	LifePhysicalSocialScience	54.53	NA	59.01	22.79	73160	68750	0	68.75
19-1031.02	Range Manager	LifePhysicalSocialScience	64.38	NA	52.81	22.79	73160	68750	0	68.75
19-1031.00	Conservation Scientist	LifePhysicalSocialScience	54.53	4.6	68.86	22.79	73160	68750	0	68.75
19-1031.03	Park Naturalist	LifePhysicalSocialScience	54.53	NA	54.27	22.79	73160	68750	0	68.75
19-1032.00	Forester	LifePhysicalSocialScience	54.53	NA	56.27	9.45	70680	67330	0	67.33
19-1041.00	Epidemiologist	LifePhysicalSocialScience	73.14	NA	77.63	10.23	90430	81390	0	81.39
19-1042.00	Medical Scientist (except Epidemiologist)	LifePhysicalSocialScience	86.05	NA	81.23	136.62	112380	100890	0	100.89
19-1099.00	Other - Life Scientist	LifePhysicalSocialScience	73.14	4.8	67.17	7.49	101520	86950	0	86.95
19-2011.00	Astronomer	LifePhysicalSocialScience	73.48	6.9	78.59	2.08	128940	127930	0	127.93
19-2012.00	Physicist	LifePhysicalSocialScience	73.48	NA	82.66	18.35	158270	155680	0	155.68
19-2021.00	Atmospheric and/or Space Scientist	LifePhysicalSocialScience	63.39	5.9	80.29	9.31	101530	92860	0	92.86
19-2031.00	Chemist	LifePhysicalSocialScience	73.33	6.7	74.74	83.53	95560	84680	0	84.68
19-2032.00	Materials Scientist	LifePhysicalSocialScience	73.09	NA	71.41	8.81	112440	106160	0	106.16
19-2041.03	Industrial Ecologist	LifePhysicalSocialScience	73.09	NA	66	80.73	86710	78980	0	78.98
19-2041.02	Environmental Restoration Planner	LifePhysicalSocialScience	73.09	NA	61.64	80.73	86710	78980	0	78.98
19-2041.00	Environmental Scientist	LifePhysicalSocialScience	73.09	6.1	69.62	80.73	86710	78980	0	78.98
19-2041.01	Climate Change Analyst	LifePhysicalSocialScience	73.09	NA	63.06	80.73	86710	78980	0	78.98
19-2042.00	Geoscientist (except Hydrologist or Geographer)	LifePhysicalSocialScience	69.75	NA	72.55	24.62	104000	92580	0	92.58
19-2043.00	Hydrologist	LifePhysicalSocialScience	73.09	NA	63.67	6.15	96410	88770	0	88.77
19-2099.00	Other - Physical Scientist	LifePhysicalSocialScience	73.09	4.4	75.94	20.82	119050	112280	0	112.28
19-2099.01	Remote Sensing Scientist and/or Technologist	LifePhysicalSocialScience	64.38	NA	70.51	20.82	119050	112280	0	112.28
19-3011.01	Environmental Economist	LifePhysicalSocialScience	73.09	NA	66.64	16.42	132650	115730	0	115.73
19-3011.00	Economist	LifePhysicalSocialScience	62.86	6	67.83	16.42	132650	115730	0	115.73
19-3022.00	Survey Researcher	LifePhysicalSocialScience	65.02	3.9	51.03	8.19	66670	60960	0	60.96
19-3032.00	Psychologist - Industrial-Organizational	LifePhysicalSocialScience	69.39	6.4	69.09	1.03	154380	147420	0	147.42
19-3031.00	NA	NA	NA	NA	NA	71.73	106600	96100	0	96.1
19-3031.02	Psychologist - Clinical	LifePhysicalSocialScience	69.39	NA	74.21	71.73	106600	96100	0	96.1
19-3031.03	Psychologist - Counseling	LifePhysicalSocialScience	69.39	NA	69.26	71.73	106600	96100	0	96.1
19-3031.00	NA	NA	NA	NA	NA	62.79	91990	84940	0	84.94
19-3031.01	Psychologist - School	LifePhysicalSocialScience	69.39	NA	64.62	62.79	91990	84940	0	84.94
19-3039.00	Psychologist - Other	LifePhysicalSocialScience	69.39	NA	74.17	14.48	110300	117750	0	117.75
19-3039.01	Neuropsychologist and/or Clinical Neuropsychologist	LifePhysicalSocialScience	86.05	NA	82.79	14.48	110300	117750	0	117.75
19-3041.00	Sociologist	LifePhysicalSocialScience	60.75	6.1	60.59	2.89	106710	101770	0	101.77
19-3051.00	Urban and Regional Planner	LifePhysicalSocialScience	52.32	5.5	61.95	42.69	85940	81800	0	81.8
19-3091.00	NA	NA	NA	NA	NA	7.72	69780	63800	0	63.8
19-3091.02	Archeologist	LifePhysicalSocialScience	65.02	NA	71.55	7.72	69780	63800	0	63.8
19-3091.01	Anthropologist	LifePhysicalSocialScience	65.02	NA	71.94	7.72	69780	63800	0	63.8
19-3092.00	Geographer	LifePhysicalSocialScience	69.75	NA	62.59	1.46	92460	90880	0	90.88
19-3093.00	Historian	LifePhysicalSocialScience	65.02	NA	63.96	3.04	76120	72890	0	72.89
19-3094.00	Political Scientist	LifePhysicalSocialScience	65.02	NA	59.59	5.58	132020	132350	0	132.35
19-3099.00	Other - Social Scientist	LifePhysicalSocialScience	65.02	6.2	57.61	35.21	102210	95890	0	95.89
19-3099.01	Transportation Planner	LifePhysicalSocialScience	24.89	NA	52.98	35.21	102210	95890	0	95.89
19-4011.01	Agricultural and/or Food Science Technician	LifePhysicalSocialScience	40.85	NA	59.87	13.15	46810	43180	0	43.18
19-4099.02	Precision Agriculture Technician	LifePhysicalSocialScience	40.85	NA	59.5	13.15	46810	43180	0	43.18
19-4011.00	Agricultural and/or Food Science Technician	LifePhysicalSocialScience	40.85	4.6	59.87	13.15	46810	43180	0	43.18
19-4011.00	Agricultural and/or Food Science Technician	LifePhysicalSocialScience	40.85	NA	59.87	15.19	54000	49090	0	49.09
