"Dataset.Name","Cases","Variables","Categorical.Variables","Quantitative.Variables","Topics","Data.Link","Documentation.Link"
"Slalom_times_2022",45,9,3,6,"","[Link to Slalom_times_2022 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Slalom_times_2022/Slalom_times_2022.txt)","[Link to Slalom_times_2022 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Slalom_times_2022/readme.md)"
"Smoking_by_Age_and_Gender",12,7,3,4,"","[Link to Smoking_by_Age_and_Gender data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Smoking_by_Age_and_Gender/Smoking_by_Age_and_Gender.txt)","[Link to Smoking_by_Age_and_Gender documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Smoking_by_Age_and_Gender/readme.md)"
"Stereograms",78,2,1,1,"","[Link to Stereograms data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Stereograms/Stereograms.txt)","[Link to Stereograms documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Stereograms/readme.md)"
"Student_survey",299,15,7,8,"","[Link to Student_survey data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Student_survey/Student_survey.txt)","[Link to Student_survey documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Student_survey/readme.md)"
"Sugar_in_cereal",28,2,0,2,"","[Link to Sugar_in_cereal data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Sugar_in_cereal/Sugar_in_cereal.txt)","[Link to Sugar_in_cereal documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Sugar_in_cereal/readme.md)"
"Summer_Olympics_2024",91,5,1,4,"","[Link to Summer_Olympics_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Summer_Olympics_2024/Summer_Olympics_2024.txt)","[Link to Summer_Olympics_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Summer_Olympics_2024/readme.md)"
"Super_Bowl_2025",59,7,3,4,"","[Link to Super_Bowl_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Super_Bowl_2025/Super_Bowl_2025.txt)","[Link to Super_Bowl_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Super_Bowl_2025/readme.md)"
"Swift_at_the_Super_Bowl",3,4,1,3,"contingency table; mosaic plot; bar plot","[Link to Swift_at_the_Super_Bowl data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Swift_at_the_Super_Bowl/Swift_at_the_Super_Bowl.txt)","[Link to Swift_at_the_Super_Bowl documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Swift_at_the_Super_Bowl/readme.md)"
"Tattoos",626,2,2,0,"","[Link to Tattoos data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Tattoos/Tattoos.txt)","[Link to Tattoos documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Tattoos/readme.md)"
"Tendon_transfers",16,5,3,2,"","[Link to Tendon_transfers data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Tendon_transfers/Tendon_transfers.txt)","[Link to Tendon_transfers documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Tendon_transfers/readme.md)"
"Titanic_2025",2208,21,12,7,"","[Link to Titanic_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Titanic_2025/Titanic_2025.txt)","[Link to Titanic_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Titanic_2025/readme.md)"
"Tornadoes_2024",30,2,0,2,"","[Link to Tornadoes_2024 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Tornadoes_2024/Tornadoes_2024.txt)","[Link to Tornadoes_2024 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Tornadoes_2024/readme.md)"
"Tour_de_France_2025",112,12,4,5,"histogram; scatterplot; reexpression","[Link to Tour_de_France_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Tour_de_France_2025/Tour_de_France_2025.txt)","[Link to Tour_de_France_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Tour_de_France_2025/readme.md)"
"Traffic_fatalities_2013",27,20,0,20,"","[Link to Traffic_fatalities_2013 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Traffic_fatalities_2013/Traffic_fatalities_2013.txt)","[Link to Traffic_fatalities_2013 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Traffic_fatalities_2013/readme.md)"
"Tsunamis_2025",1205,12,1,10,"","[Link to Tsunamis_2025 data (.txt)](https://raw.githubusercontent.com/IntroStats7e/IntroStats7e.github.io/refs/heads/main/Tsunamis_2025/Tsunamis_2025.txt)","[Link to Tsunamis_2025 documentation](https://github.com/IntroStats7e/IntroStats7e.github.io/blob/main/Tsunamis_2025/readme.md)"
