Global.North.South	AI.Improve.Healthcare
1181	Global North	Medium
1182	Global North	Much
1183	Global North	Medium
1184	Global North	Medium
1185	Global North	Medium
1186	Global North	Medium
1187	Global North	Much
1188	Global North	Medium
1189	Global North	Little
1190	Global North	Medium
1191	Global North	Medium
1192	Global North	Medium
1194	Global North	Medium
1195	Global North	Much
1196	Global North	Much
1197	Global North	Little
1198	Global North	Much
1200	Global North	Very much
1201	Global North	Very much
1202	Global North	Very little
1203	Global North	Much
1204	Global North	Medium
1205	Global North	Medium
1206	Global North	Much
1207	Global North	Medium
1208	Global North	Medium
1209	Global North	Medium
1210	Global North	Very much
1211	Global North	Much
1212	Global North	Medium
1213	Global North	Medium
1214	Global North	Medium
1215	Global North	Little
1216	Global North	Medium
1217	Global North	Medium
1218	Global North	Much
1219	Global North	Medium
1220	Global North	Medium
1221	Global North	Medium
1222	Global North	Medium
1223	Global North	Medium
1224	Global North	Medium
1225	Global North	Much
1226	Global North	Little
1228	Global North	Very much
1229	Global North	Medium
1230	Global North	Medium
1231	Global North	Medium
1232	Global North	Very much
1233	Global North	Medium
1234	Global North	Medium
1235	Global North	Much
1236	Global North	Medium
1237	Global North	Medium
1238	Global North	Very little
1239	Global North	Medium
1240	Global North	Little
1241	Global North	Little
1242	Global North	Medium
1243	Global North	Medium
1244	Global North	Very much
1245	Global North	Much
1246	Global North	Much
1247	Global North	Very little
1248	Global North	Medium
1249	Global North	Much
1250	Global North	Much
1251	Global North	Much
1252	Global North	Very much
1253	Global North	Medium
1254	Global North	Medium
1255	Global North	Medium
1256	Global North	Medium
1257	Global North	Much
1258	Global North	Much
1259	Global North	Medium
1260	Global North	Little
1261	Global North	Much
1262	Global North	Little
1263	Global North	Medium
1264	Global North	Medium
1265	Global North	Much
1266	Global North	Much
1267	Global North	Much
1268	Global North	Much
1269	Global North	Much
1270	Global North	Medium
1271	Global North	Much
1272	Global North	Much
1273	Global North	Much
1274	Global North	Very little
1275	Global North	Medium
1276	Global North	Medium
1277	Global North	Medium
1278	Global North	Much
1279	Global North	Medium
1280	Global North	Much
1281	Global North	Very much
1282	Global North	Much
1283	Global North	Medium
1284	Global North	Medium
1285	Global North	Much
1286	Global North	Medium
1287	Global North	Much
1288	Global North	Very little
1289	Global North	Very much
1290	Global North	Medium
1291	Global North	Medium
1292	Global North	Medium
1293	Global North	Much
1294	Global North	Much
1295	Global North	Medium
1296	Global North	Much
1297	Global North	Medium
1298	Global North	Much
1299	Global North	Very much
1300	Global North	Medium
1301	Global North	Medium
1302	Global North	Medium
1303	Global North	Medium
1304	Global North	Very much
1305	Global North	Medium
1306	Global North	Much
1307	Global North	Much
1308	Global North	Little
1309	Global North	Medium
1310	Global North	Much
1311	Global North	Very much
1312	Global North	Medium
1313	Global North	Much
1314	Global North	Much
1315	Global North	Little
1316	Global North	Little
1318	Global North	Much
1319	Global North	Medium
1320	Global North	Much
1321	Global North	Much
1322	Global North	Much
1323	Global North	Much
1324	Global North	Medium
1325	Global North	Much
1326	Global North	Medium
1327	Global North	Medium
1328	Global North	Medium
1329	Global North	Much
1330	Global North	Medium
1331	Global North	Much
1332	Global North	Much
1333	Global North	Much
1334	Global North	Much
1335	Global North	Much
1336	Global North	Medium
1337	Global North	Medium
1338	Global North	Medium
1339	Global North	Little
1340	Global North	Much
1341	Global North	Little
1342	Global North	Little
1344	Global North	Much
1345	Global North	Much
1346	Global North	Much
1347	Global North	Much
1348	Global North	Little
1349	Global North	Medium
1350	Global North	Very little
1351	Global North	Medium
1352	Global North	Medium
1353	Global North	Little
1354	Global North	Much
1355	Global North	Medium
1356	Global North	Much
1357	Global North	Medium
1358	Global North	Little
1359	Global North	Medium
1360	Global North	Medium
1361	Global North	Little
1362	Global North	Much
1363	Global North	Medium
1364	Global North	Very much
1365	Global North	Medium
1366	Global North	Little
1367	Global North	Much
1368	Global North	Medium
1369	Global North	Much
1370	Global North	Medium
1371	Global North	Medium
1372	Global North	Little
1373	Global North	Medium
1374	Global North	Very much
1375	Global North	Much
1376	Global North	Much
1377	Global North	Medium
1378	Global North	Medium
1379	Global North	Very much
1380	Global North	Medium
1381	Global North	Medium
1382	Global North	Medium
1383	Global North	Medium
1384	Global North	Much
1385	Global North	Medium
1386	Global North	Very much
1387	Global North	Very much
1388	Global North	Very much
1389	Global North	Little
1390	Global North	Medium
1391	Global North	Much
1392	Global North	Much
1393	Global North	Medium
1394	Global North	Much
1395	Global North	Medium
1396	Global North	Much
1397	Global North	Little
1399	Global North	Much
1400	Global North	Little
1401	Global North	Much
1402	Global North	Medium
1403	Global North	Much
1404	Global North	Much
1405	Global North	Much
1406	Global North	Medium
1407	Global North	Medium
1408	Global North	Much
1409	Global North	Much
1410	Global North	Much
1411	Global North	Much
1412	Global North	Medium
1413	Global North	Medium
1415	Global North	Much
1416	Global North	Little
1417	Global North	Much
1418	Global North	Little
1419	Global North	Medium
1420	Global North	Very much
1421	Global North	Medium
1422	Global North	Very much
1423	Global North	Medium
1424	Global North	Medium
1425	Global North	Very much
1426	Global North	Medium
1427	Global North	Medium
1428	Global North	Much
1429	Global North	Much
1430	Global North	Little
